PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
4g8v	Ki	5.796	0.736	0.322
4a95	Ki	5.762	0.886	0.343
4ei4	Ki	8.745	0.927	0.546
4dfg	Ki	11.745	0.993	0.635
3ts4	Ki	8.721	0.965	0.490
3shc	Ki	5.721	0.989	0.500
4e3g	Ki	4.975	0.749	0.318
4b6o	Ki	7.000	0.916	0.309
4fai	Ki	6.994	0.872	0.344
4a6l	Ki	8.000	0.818	0.286
4ehz	Ki	8.000	0.929	0.558
4b7j	Ki	7.955	0.888	0.320
3uxk	Ki	4.932	0.500	0.147
4hge	Ki	7.924	0.973	0.598
4gqr	Ki	3.959	0.500	0.240
3twp	Ki	3.924	0.500	0.170
3uuo	Ki	7.959	0.955	0.459
3veh	Ki	4.959	0.500	0.191
4b5d	Ki	7.893	0.776	0.216
4a6c	Ki	7.921	0.990	0.593
3rv8	Ki	4.921	0.500	0.213
4gzt	Ki	7.770	0.918	0.326
3si4	Ki	3.879	0.989	0.488
3spf	Ki	3.860	0.800	0.342
4gzp	Ki	7.845	0.915	0.327
4b6r	Ki	5.848	0.500	0.225
3sut	Ki	7.854	0.917	0.340
3r88	Ki	4.824	0.512	0.177
3tzm	Ki	7.770	0.973	0.442
3tvc	Ki	7.745	0.923	0.482
4f39	Ki	5.703	0.792	0.337
3u6i	Ki	9.000	0.982	0.463
3uri	Ki	9.000	0.885	0.327
4h3f	Ki	9.000	0.986	0.532
4hf4	Ki	8.620	0.957	0.474
3s43	Ki	8.597	0.991	0.614
3sxf	Ki	8.602	0.986	0.436
3t3u	Ki	8.602	0.986	0.472
4unp	Kd	3.229	0.561	0.260
4efs	Ki	8.602	0.961	0.496
3sha	Ki	5.585	0.989	0.520
3v7x	Ki	8.569	0.941	0.493
3uxl	Ki	5.569	0.524	0.219
3uzj	Ki	5.550	0.673	0.310
3v51	Ki	8.553	0.962	0.439
4f09	Ki	6.699	0.969	0.562
3su1	Ki	6.682	0.770	0.323
4acc	Ki	7.699	0.887	0.453
4fsl	Ki	7.699	0.986	0.554
3suw	Ki	4.699	0.903	0.338
4gkh	Ki	4.668	0.781	0.280
3qtv	Ki	4.648	0.989	0.514
4e5w	Ki	7.658	0.954	0.562
4g8y	Ki	4.588	0.787	0.347
3vhk	Ki	4.602	0.979	0.456
4bc5	Ki	4.602	0.500	0.172
3su5	Ki	5.579	0.784	0.321
3suf	Ki	7.556	0.699	0.373
4fs4	Ki	6.569	0.982	0.535
3rr4	Ki	4.552	0.946	0.446
3suv	Ki	4.553	0.792	0.316
3vdb	Ki	2.519	0.647	0.171
3s45	Ki	8.489	0.977	0.494
4dju	Ki	5.444	0.978	0.517
4fev	Ki	5.420	0.840	0.280
4g90	Ki	4.511	0.778	0.335
3u92	Ki	7.484	0.806	0.340
4knj	Kd	7.955	0.951	0.519
4dhl	Ki	4.481	0.594	0.234
4gki	Ki	4.463	0.827	0.291
3qw5	Ki	6.446	0.816	0.260
4dff	Ki	7.456	0.958	0.453
4i8n	Ki	4.456	0.959	0.439
3u81	Ki	4.444	0.974	0.491
3rbu	Ki	9.432	0.500	0.176
4dsy	Ki	4.432	0.611	0.196
4ek9	Ki	4.420	0.858	0.331
4exs	Ki	4.409	0.744	0.352
3t0d	Ki	2.367	0.664	0.174
3s5y	Ki	7.408	0.557	0.176
3uxd	Ki	4.406	0.732	0.271
3suu	Ki	8.523	0.917	0.344
4djo	Ki	11.523	0.993	0.642
4en4	Ki	5.523	0.540	0.230
4a6b	Ki	8.377	0.989	0.597
4e0x	Ki	7.119	0.740	0.357
4e6q	Ki	8.357	0.967	0.550
3su2	Ki	7.349	0.844	0.329
3s6t	Ki	7.347	0.811	0.216
3u93	Ki	6.306	0.929	0.444
3tt4	Ki	8.276	0.929	0.458
4djy	Ki	8.268	0.976	0.526
4eoh	Ki	4.301	0.625	0.217
4do4	Ki	7.292	0.500	0.261
4alx	Ki	7.284	0.500	0.201
3qwc	Ki	4.256	0.989	0.498
3su4	Ki	6.256	0.816	0.352
4ha5	Ki	7.237	0.979	0.522
4djx	Ki	7.229	0.982	0.532
3t3c	Ki	10.229	0.985	0.563
4afg	Ki	8.301	0.844	0.244
4few	Ki	5.208	0.786	0.274
4gg7	Ki	8.201	0.982	0.462
3uu1	Ki	5.201	0.500	0.238
3sug	Ki	6.208	0.879	0.342
3qx5	Ki	4.197	0.989	0.495
3sv2	Ki	4.194	0.988	0.494
3si3	Ki	4.159	0.987	0.505
3v5t	Ki	8.222	0.984	0.454
4knn	Kd	7.777	0.950	0.421
4h3g	Ki	8.222	0.983	0.567
3sur	Ki	4.155	0.876	0.354
3sus	Ki	4.149	0.882	0.339
3qto	Ki	4.126	0.989	0.498
4b6p	Ki	7.131	0.938	0.321
4de2	Ki	4.119	0.816	0.375
3vbd	Ki	8.066	0.937	0.486
4b9z	Ki	4.089	0.580	0.257
4h3j	Ki	7.046	0.984	0.563
4f9u	Ki	6.025	0.776	0.285
3su6	Ki	6.019	0.861	0.338
4b6s	Ki	6.013	0.806	0.238
4f6w	Kd	7.523	0.972	0.324
3zi0	Kd	7.398	0.689	0.224
4ly1	Kd	7.258	0.977	0.472
4ggz	Kd	10.180	0.500	0.248
4i9h	Kd	7.167	0.844	0.210
4ko8	Kd	7.155	0.800	0.200
4k9y	Kd	6.955	0.959	0.470
4i54	Kd	6.959	0.978	0.427
4jyb	Kd	6.959	0.838	0.298
4loh	Kd	6.959	0.769	0.272
4g4p	Kd	6.886	0.500	0.184
4loi	Kd	6.770	0.742	0.270
4lxz	Kd	6.740	0.952	0.350
4lhv	Kd	10.000	0.973	0.491
4jyc	Kd	6.699	0.813	0.267
3zhx	Kd	6.678	0.500	0.217
4iuo	Kd	3.638	0.500	0.191
4btk	Kd	6.620	0.914	0.357
4gqp	Kd	9.602	0.578	0.190
4iue	Kd	6.553	0.987	0.631
4io2	Kd	6.699	0.500	0.206
4b7p	Kd	9.461	0.984	0.518
4n07	Kd	6.456	0.847	0.467
4jfk	Kd	6.444	0.791	0.371
3zll	Kd	6.403	0.553	0.242
3w07	Kd	3.377	0.698	0.403
4b33	Kd	3.367	0.644	0.210
3v2p	Kd	6.357	0.672	0.257
4b32	Kd	3.337	0.622	0.201
3zk6	Kd	6.337	0.788	0.376
3w9k	Kd	6.319	0.500	0.257
3v2q	Kd	6.292	0.758	0.263
4f0c	Kd	6.268	0.819	0.298
3zlr	Kd	9.260	0.760	0.272
4b2l	Kd	3.244	0.500	0.207
4ddh	Kd	3.301	0.551	0.198
4e1k	Kd	6.301	0.850	0.281
4bqg	Kd	6.222	0.966	0.489
4k6i	Kd	6.201	0.948	0.436
4fht	Kd	6.174	0.500	0.220
4de5	Kd	3.155	0.500	0.181
4f6u	Kd	6.155	0.965	0.324
4b34	Kd	3.137	0.500	0.175
4k4j	Kd	6.124	0.955	0.452
4hp0	Kd	6.119	0.500	0.334
4kao	Kd	6.114	0.881	0.432
4km2	Kd	5.845	0.965	0.446
4fzj	Kd	3.155	0.500	0.185
4io3	Kd	6.060	0.500	0.185
4l50	Kd	6.056	0.728	0.223
3v2n	Kd	6.097	0.601	0.217
4km0	Kd	6.041	0.944	0.384
4l4v	Kd	5.783	0.529	0.198
4g5f	Kd	3.046	0.500	0.188
4kqp	Kd	6.046	0.500	0.228
4az5	Kd	5.991	0.921	0.193
4nkt	Kd	5.967	0.675	0.275
4b2i	Kd	3.000	0.527	0.206
4ezx	Kd	5.796	0.851	0.363
4lkk	Kd	5.921	0.562	0.152
4ef6	Kd	2.921	0.616	0.197
4azc	Kd	5.860	0.555	0.236
4jne	Kd	5.860	0.891	0.247
4b35	Kd	2.886	0.500	0.199
4ceb	Kd	2.967	0.698	0.399
4lps	Kd	5.745	0.702	0.332
4br3	Kd	5.721	0.696	0.281
4knm	Kd	8.000	0.962	0.433
4bcs	Kd	6.987	0.500	0.181
4i7l	Kd	3.987	0.500	0.186
4att	Kd	6.980	0.990	0.574
4bup	Kd	4.951	0.877	0.332
4ido	Kd	4.934	0.695	0.225
4bi6	Kd	3.946	0.949	0.314
4mr3	Kd	5.942	0.973	0.573
4igt	Kd	7.893	0.773	0.326
4ipj	Kd	4.870	0.500	0.191
3w5n	Kd	3.870	0.500	0.165
4i9u	Kd	3.863	0.706	0.181
4hpi	Kd	4.848	0.500	0.300
3vvy	Kd	4.836	0.728	0.235
4k3h	Kd	6.854	0.500	0.284
4kn1	Kd	6.842	0.500	0.256
4ieh	Kd	7.854	0.701	0.351
4j7e	Kd	4.854	0.966	0.480
4io6	Kd	4.821	0.500	0.233
4aq6	Kd	4.801	0.500	0.132
4bks	Kd	3.824	0.884	0.286
3vx3	Kd	7.824	0.757	0.275
4kni	Kd	7.777	0.962	0.521
4ad6	Kd	4.777	0.581	0.263
4j3l	Kd	7.796	0.990	0.610
3vw2	Kd	4.747	0.756	0.255
4kax	Kd	4.770	0.877	0.368
4auj	Kd	7.738	0.981	0.575
4ayu	Kd	4.730	0.500	0.129
4fz3	Kd	3.734	0.865	0.364
4f9y	Kd	6.735	0.943	0.443
4j22	Kd	7.745	0.990	0.593
4ih6	Kd	4.745	0.886	0.311
4ljh	Kd	4.712	0.615	0.216
4k0o	Kd	3.000	0.500	0.296
4bb9	Kd	6.000	0.848	0.251
4b3c	Kd	2.678	0.500	0.174
4b3d	Kd	2.678	0.500	0.199
4jn2	Kd	11.678	0.803	0.319
4l4z	Kd	5.678	0.641	0.239
3zi8	Kd	5.658	0.500	0.153
4i8x	Kd	2.638	0.600	0.163
4jx9	Kd	8.620	0.614	0.258
4c6u	Kd	4.592	0.701	0.221
4b3b	Kd	3.602	0.826	0.360
4dzy	Kd	5.620	0.500	0.163
4bqh	Kd	5.588	0.899	0.226
4kmz	Kd	8.569	0.518	0.271
4hj2	Kd	2.530	0.745	0.265
4nxu	Kd	5.538	0.705	0.249
4lar	Kd	4.684	0.500	0.183
4j7d	Kd	4.699	0.931	0.480
4j93	Kd	4.699	0.533	0.254
4luz	Kd	4.699	0.671	0.390
4del	Kd	7.676	0.663	0.205
3vw1	Kd	4.674	0.777	0.233
4nku	Kd	4.672	0.588	0.267
4io7	Kd	3.676	0.500	0.158
2ypo	Kd	4.678	0.500	0.158
4io4	Kd	4.611	0.500	0.149
4bkt	Kd	3.620	0.896	0.289
4mr6	Kd	6.600	0.987	0.499
4jal	Kd	4.602	0.763	0.276
4bi7	Kd	4.578	0.694	0.220
4ht2	Kd	6.538	0.710	0.364
4hu1	Kd	7.538	0.952	0.370
4k55	Kd	5.514	0.500	0.253
4efk	Kd	2.495	0.500	0.155
3zdv	Kd	5.481	0.576	0.300
4jfm	Kd	5.481	0.763	0.353
3zln	Kd	8.469	0.773	0.338
4n7m	Kd	5.469	0.776	0.254
4ddm	Kd	2.456	0.517	0.190
4ksy	Kd	8.421	0.830	0.276
4nxv	Kd	5.420	0.852	0.259
4i7p	Kd	3.499	0.671	0.270
4mme	Kd	6.498	0.500	0.249
4ipi	Kd	5.319	0.505	0.192
4avs	Kd	3.492	0.500	0.137
4l6t	Kd	7.495	0.576	0.263
4kp8	Kd	5.478	0.768	0.325
4azi	Kd	7.449	0.757	0.297
4ge1	Kd	6.432	0.500	0.232
4ipn	Kd	3.389	0.783	0.228
4jpy	Kd	4.432	0.570	0.216
4kcx	Kd	4.432	0.985	0.498
3zm9	Kd	7.420	0.687	0.326
4j21	Kd	7.409	0.985	0.611
4ej8	Kd	5.387	0.677	0.304
4jwk	Kd	8.320	0.815	0.253
4kn0	Kd	7.398	0.540	0.266
4hfp	Kd	7.377	0.987	0.423
4gu9	Kd	4.367	0.878	0.426
4gu6	Kd	7.357	0.928	0.443
4nbn	Kd	4.357	0.895	0.296
4azb	Kd	7.239	0.942	0.256
4ayq	Kd	7.328	0.509	0.227
4i7j	Kd	3.319	0.500	0.171
4kow	Kd	4.307	0.943	0.347
4bj8	Kd	8.290	0.500	0.175
4ddk	Kd	2.292	0.500	0.184
4ezr	Kd	5.201	0.761	0.266
4ezz	Kd	5.194	0.865	0.268
4e70	Kd	5.279	0.500	0.152
4idn	Kd	5.239	0.745	0.257
4kfq	Kd	8.232	0.871	0.324
4gue	Kd	5.237	0.773	0.310
4ih7	Kd	5.237	0.701	0.276
4n5d	Kd	3.217	0.780	0.255
4gny	Kd	4.222	0.810	0.238
4nra	Kd	4.187	0.898	0.507
4jkw	Kd	4.156	0.500	0.285
4jpx	Kd	5.155	0.571	0.196
4h85	Kd	5.155	0.500	0.193
4ejl	Kd	5.143	0.899	0.446
4h81	Kd	5.125	0.500	0.163
4c1t	Kd	7.150	0.674	0.275
4i7m	Kd	4.143	0.501	0.222
4cgi	Kd	3.124	0.721	0.405
4ayp	Kd	6.122	0.568	0.255
4kzq	Kd	6.103	0.988	0.600
4ih5	Kd	4.108	0.914	0.333
4azg	Kd	7.102	0.716	0.285
4loo	Kd	8.155	0.923	0.448
4ly9	Kd	8.155	0.786	0.268
4h7q	Kd	5.056	0.500	0.164
4c1u	Kd	7.092	0.583	0.248
4jym	Kd	5.043	0.859	0.268
4lk7	Kd	5.041	0.567	0.232
4io5	Kd	5.033	0.500	0.162
4np9	Kd	5.027	0.500	0.247
4i7k	Kd	3.043	0.500	0.185
4bny	Ki	7.097	0.870	0.300
4l51	Kd	3.002	0.637	0.235
4gbd	Ki	11.319	0.516	0.217
4gih	Ki	8.319	0.963	0.532
4kb9	Ki	11.000	0.994	0.637
4fp1	Ki	4.569	0.532	0.167
4gfm	Ki	7.222	0.930	0.537
4baq	Ki	9.009	0.992	0.553
4bcm	Ki	6.910	0.990	0.509
4bco	Ki	6.883	0.992	0.502
4ew3	Ki	6.745	0.989	0.492
4ivc	Ki	10.000	0.941	0.548
4isu	Ki	3.678	0.860	0.356
4ew2	Ki	6.678	0.989	0.488
4gfo	Ki	6.620	0.925	0.425
4gql	Ki	9.585	0.964	0.473
4gr0	Ki	9.553	0.970	0.490
4hw3	Ki	6.495	0.938	0.419
4da5	Ki	6.444	0.708	0.255
4i72	Ki	9.046	0.500	0.226
4ivd	Ki	9.523	0.943	0.513
4ca5	Ki	9.387	0.961	0.253
4bt4	Ki	3.337	0.500	0.138
4mss	Ki	6.398	0.659	0.280
4jia	Ki	9.222	0.969	0.571
4m0e	Ki	6.222	0.873	0.261
4mdn	Ki	6.222	0.989	0.508
4bt3	Ki	3.119	0.500	0.144
4az6	Ki	9.097	0.959	0.280
4hws	Ki	9.097	0.545	0.254
4jh0	Ki	9.027	0.865	0.234
4bps	Ki	2.991	0.500	0.233
4bam	Ki	8.943	0.992	0.533
4k18	Ki	8.959	0.984	0.567
4heg	Ki	8.921	0.993	0.644
4bak	Ki	8.914	0.992	0.531
4kyh	Ki	5.921	0.695	0.266
4gj3	Ki	8.854	0.975	0.563
4i5c	Ki	8.824	0.945	0.548
4ks1	Ki	8.824	0.890	0.318
4f3c	Ki	11.824	0.782	0.305
4bt5	Ki	2.764	0.500	0.142
4m0f	Ki	8.770	0.785	0.251
4j45	Ki	5.770	0.500	0.310
4j44	Ki	5.728	0.500	0.390
4gii	Ki	8.745	0.975	0.519
4ish	Ki	8.721	0.977	0.529
4ivb	Ki	8.721	0.938	0.556
3zcl	Ki	7.996	0.983	0.541
4mo8	Ki	7.996	0.940	0.487
4in9	Ki	4.971	0.952	0.349
4i74	Ki	6.721	0.543	0.252
4f9w	Ki	6.943	0.941	0.428
4k3n	Ki	7.959	0.574	0.165
4jsa	Ki	4.959	0.672	0.313
4j47	Ki	4.920	0.500	0.397
4i8w	Ki	10.896	0.993	0.637
4bcn	Ki	7.921	0.981	0.500
3zps	Ki	8.301	0.991	0.601
4mjp	Ki	3.883	0.500	0.204
3wjw	Ki	3.873	0.699	0.391
4gr8	Ki	7.833	0.968	0.463
4iic	Ki	4.854	0.500	0.121
4eb8	Ki	9.821	0.644	0.269
4cg8	Kd	6.959	0.792	0.304
4k0y	Ki	7.824	0.987	0.582
4n6z	Ki	7.796	0.988	0.631
4hla	Ki	10.796	0.993	0.654
4hwp	Ki	7.764	0.575	0.256
4ca6	Ki	6.745	0.935	0.268
4i71	Ki	7.745	0.500	0.234
4kyk	Ki	4.745	0.718	0.252
4bah	Ki	8.697	0.991	0.528
4j28	Ki	5.699	0.661	0.226
4j48	Ki	5.618	0.597	0.316
4ban	Ki	8.614	0.992	0.547
4ndu	Kd	2.745	0.500	0.246
4iid	Ki	5.620	0.500	0.148
4gj2	Ki	8.602	0.964	0.520
3vtr	Ki	5.566	0.667	0.286
4hwo	Ki	8.538	0.569	0.260
4ca8	Ki	6.678	0.869	0.305
4hzm	Ki	4.635	0.918	0.272
4k77	Ki	6.629	0.919	0.546
4lch	Ki	10.620	0.930	0.456
4hy1	Ki	8.699	0.954	0.318
4bs0	Ki	5.699	0.702	0.330
4hdf	Ki	8.495	0.992	0.605
4m2r	Ki	8.495	0.968	0.537
4hdp	Ki	7.510	0.993	0.625
4kzu	Ki	6.504	0.988	0.638
4h42	Ki	3.467	0.979	0.578
4k5p	Ki	3.462	0.660	0.266
3znr	Ki	7.444	0.963	0.308
4m2v	Ki	7.444	0.954	0.505
3zns	Ki	7.409	0.965	0.331
4bao	Ki	8.368	0.992	0.552
3zpu	Ki	8.377	0.991	0.605
4iie	Ki	2.337	0.500	0.132
4ca7	Ki	7.357	0.881	0.306
4lvt	Ki	10.357	0.604	0.364
3zdh	Ki	7.347	0.500	0.122
4bck	Ki	8.398	0.987	0.450
4ij1	Ki	5.398	0.737	0.222
4f2w	Ki	11.301	0.776	0.292
4j46	Ki	5.281	0.500	0.395
4jfs	Ki	5.268	0.668	0.240
4jsz	Ki	2.301	0.682	0.299
4eor	Ki	6.301	0.988	0.515
4jss	Ki	3.301	0.601	0.270
4iwz	Ki	7.292	0.955	0.536
4m2w	Ki	7.284	0.920	0.499
4bcp	Ki	6.246	0.990	0.534
4lxd	Ki	7.229	0.597	0.323
4lko	Ki	8.222	0.811	0.223
3w37	Ki	5.175	0.582	0.260
4iif	Ki	5.180	0.500	0.147
4gkm	Ki	5.167	0.600	0.210
4elg	Ki	8.161	0.964	0.427
4bqs	Ki	4.208	0.500	0.224
4n9a	Ki	4.194	0.500	0.220
4iva	Ki	7.165	0.970	0.556
4f3k	Ki	10.161	0.820	0.329
3zbx	Ki	8.222	0.981	0.497
4hym	Ki	8.222	0.908	0.325
4lrr	Ki	5.222	0.563	0.196
4isi	Ki	8.137	0.985	0.543
4ks4	Ki	7.143	0.909	0.312
3zc5	Ki	7.131	0.982	0.529
4kx8	Ki	7.131	0.755	0.271
4kxb	Ki	4.125	0.930	0.268
3zdg	Ki	7.102	0.500	0.159
4elh	Ki	8.086	0.969	0.444
4hdb	Ki	8.051	0.994	0.633
4i8z	Ki	11.051	0.993	0.639
4m2u	Ki	8.041	0.945	0.495
4elf	Ki	8.027	0.961	0.438
4qyy	Kd	7.301	0.976	0.523
4mo4	Kd	4.222	0.507	0.218
4w97	Kd	7.097	0.500	0.279
4w9h	Kd	6.733	0.969	0.361
4o0a	Kd	6.721	0.659	0.400
4qnb	Kd	6.585	0.560	0.185
4w9k	Kd	6.536	0.972	0.349
4m13	Kd	6.699	0.917	0.438
4m14	Kd	6.699	0.923	0.426
4q3t	Kd	6.481	0.781	0.252
4m0y	Kd	6.456	0.904	0.435
4q3u	Kd	6.444	0.821	0.268
4d3h	Kd	6.432	0.560	0.266
4nbl	Kd	6.328	0.873	0.295
3wha	Kd	9.319	0.987	0.538
4qac	Kd	9.398	0.635	0.233
4cga	Kd	6.398	0.663	0.241
4lj5	Kd	6.292	0.745	0.302
4n7u	Kd	6.292	0.500	0.209
4r4i	Kd	6.268	0.708	0.392
4r4t	Kd	6.260	0.666	0.397
4w9j	Kd	6.231	0.973	0.345
4np3	Kd	3.301	0.500	0.271
4oag	Kd	6.301	0.809	0.205
4pow	Kd	6.301	0.818	0.369
4cg9	Kd	6.208	0.530	0.257
4q6e	Kd	6.176	0.962	0.545
3w9r	Kd	6.180	0.773	0.267
4pfu	Kd	6.174	0.545	0.232
4m7j	Kd	6.107	0.532	0.308
4kxn	Kd	6.097	0.767	0.321
4m12	Kd	6.046	0.920	0.432
4p3h	Kd	6.000	0.659	0.357
4w9i	Kd	5.959	0.965	0.340
4mrg	Kd	2.959	0.500	0.218
4csd	Kd	5.910	0.500	0.163
4rdn	Kd	5.921	0.751	0.301
4u0f	Kd	5.921	0.500	0.167
4cfl	Kd	5.876	0.975	0.581
4wk1	Kd	5.886	0.500	0.294
4qdk	Kd	5.854	0.819	0.325
4rww	Kd	5.854	0.887	0.252
4lj8	Kd	5.824	0.756	0.283
4r4o	Kd	5.824	0.722	0.396
4rqk	Kd	5.824	0.887	0.340
4mn3	Kd	5.752	0.621	0.373
4q9o	Kd	5.770	0.703	0.234
4w9d	Kd	4.991	0.941	0.330
4ibc	Kd	2.979	0.913	0.409
4ibg	Kd	3.967	0.933	0.337
4nj9	Kd	6.967	0.853	0.285
4qsu	Kd	2.000	0.696	0.276
4qsv	Kd	2.000	0.500	0.284
4o2c	Kd	8.000	0.701	0.266
4poh	Kd	8.000	0.952	0.427
4rpn	Kd	6.959	0.500	0.158
4q4s	Kd	6.952	0.944	0.470
4phu	Kd	7.919	0.500	0.206
4n9c	Kd	3.900	0.742	0.267
4q0k	Kd	4.873	0.500	0.293
4nl1	Kd	3.886	0.523	0.172
4rvr	Kd	6.866	0.963	0.474
4nbk	Kd	3.866	0.793	0.264
4m8e	Kd	7.886	0.954	0.428
4l9i	Kd	4.886	0.795	0.265
4pnu	Kd	4.886	0.519	0.234
4kif	Kd	4.836	0.500	0.168
4uof	Kd	4.836	0.500	0.195
4ovh	Kd	4.854	0.500	0.238
4k7i	Kd	2.824	0.500	0.289
4mmm	Kd	3.824	0.500	0.378
4pp3	Kd	7.824	0.954	0.469
4q4q	Kd	5.785	0.940	0.437
4ogj	Kd	6.785	0.985	0.565
4qem	Kd	7.796	0.584	0.253
4pb2	Kd	4.796	0.526	0.210
4lov	Kd	7.767	0.992	0.578
4muv	Kd	5.762	0.776	0.296
4tu4	Kd	3.757	0.984	0.457
4uoh	Kd	4.770	0.500	0.182
4pum	Kd	6.726	0.946	0.499
4pp5	Kd	7.745	0.951	0.466
4mmp	Kd	7.706	0.782	0.267
4pzv	Kd	5.699	0.864	0.314
4ncn	Kd	5.674	0.959	0.352
4c52	Kd	5.678	0.744	0.280
4pft	Kd	8.638	0.527	0.215
4up5	Kd	2.602	0.500	0.269
4qf7	Kd	8.602	0.770	0.338
4o3f	Kd	5.556	0.664	0.301
4ll3	Kd	11.569	0.993	0.649
4qij	Kd	5.538	0.602	0.184
4r4c	Kd	5.538	0.654	0.396
4mgd	Kd	4.695	0.661	0.417
4tpw	Kd	4.688	0.593	0.356
4tte	Kd	3.695	0.944	0.405
4lzr	Kd	4.699	0.970	0.511
4ibd	Kd	3.668	0.916	0.423
4qxo	Kd	5.506	0.857	0.282
4cig	Kd	3.670	0.700	0.406
4v27	Kd	6.664	0.579	0.260
4w9c	Kd	4.654	0.939	0.321
4rpo	Kd	7.642	0.500	0.167
4oeu	Kd	7.658	0.618	0.222
4qev	Kd	7.658	0.984	0.547
4tt2	Kd	4.658	0.786	0.369
4lyw	Kd	6.625	0.982	0.583
4mpn	Kd	6.622	0.845	0.259
4psb	Kd	4.638	0.509	0.249
4ocq	Kd	4.607	0.816	0.242
4c1y	Kd	3.600	0.500	0.179
4cjq	Kd	3.592	0.670	0.414
4m8h	Kd	7.602	0.950	0.449
4uyf	Kd	7.602	0.915	0.465
4ck3	Kd	3.572	0.658	0.325
4trc	Kd	4.523	0.500	0.196
4cu7	Kd	7.585	0.500	0.154
4ibb	Kd	3.568	0.894	0.415
4lbu	Kd	6.559	0.977	0.368
4nvp	Kd	7.569	0.500	0.180
4qf8	Kd	7.509	0.657	0.279
4pmm	Kd	7.569	0.970	0.455
4og3	Kd	6.545	0.755	0.278
4leq	Kd	6.541	0.976	0.389
4uac	Kd	6.541	0.500	0.288
4myd	Kd	4.553	0.532	0.297
4qer	Kd	7.538	0.704	0.293
4w9f	Kd	5.485	0.960	0.332
4pf5	Kd	5.481	0.500	0.218
4n6g	Kd	5.469	0.739	0.253
4pox	Kd	5.432	0.737	0.313
4tun	Kd	5.412	0.510	0.251
4k7n	Kd	3.481	0.500	0.308
4oks	Kd	4.481	0.665	0.277
4q4o	Kd	7.465	0.946	0.467
4mq6	Kd	6.469	0.623	0.264
4tz2	Kd	3.456	0.987	0.452
4ibf	Kd	4.434	0.943	0.408
4q4r	Kd	6.433	0.955	0.458
4qgd	Kd	7.432	0.712	0.317
4wt2	Kd	10.420	0.981	0.484
4cc5	Kd	4.420	0.568	0.196
4p5z	Kd	7.406	0.969	0.488
3wgg	Kd	4.399	0.500	0.230
4pp0	Kd	4.399	0.770	0.358
4je7	Kd	6.403	0.635	0.271
4qpl	Kd	7.409	0.500	0.246
4o6w	Kd	8.523	0.753	0.375
4c5d	Kd	5.398	0.764	0.248
4us3	Kd	5.319	0.500	0.175
4q4p	Kd	6.390	0.946	0.449
4q6d	Kd	7.362	0.950	0.552
4cj4	Kd	3.365	0.655	0.381
4mnp	Kd	7.342	0.840	0.333
4muf	Kd	6.337	0.703	0.309
4ibj	Kd	4.328	0.915	0.395
4cjp	Kd	3.318	0.674	0.379
4d1j	Kd	6.314	0.696	0.252
4c9x	Kd	7.319	0.961	0.451
4np2	Kd	2.260	0.500	0.268
4u43	Kd	4.319	0.839	0.360
4nyf	Kd	7.310	0.637	0.296
4m3p	Kd	5.398	0.801	0.199
4ozj	Kd	5.398	0.811	0.309
4pin	Kd	5.398	0.763	0.236
4non	Kd	5.243	0.923	0.396
4ibk	Kd	4.298	0.923	0.410
4k7o	Kd	4.301	0.500	0.399
4o61	Kd	4.301	0.593	0.275
4ua8	Kd	6.260	0.500	0.272
4wiv	Kd	6.260	0.984	0.574
4nnr	Kd	7.260	0.500	0.352
4mre	Kd	2.194	0.500	0.217
4nja	Kd	6.222	0.869	0.283
4je8	Kd	5.215	0.606	0.280
4mul	Kd	6.215	0.672	0.283
4o9w	Kd	7.155	0.652	0.323
4buq	Kd	8.137	0.982	0.579
4pop	Kd	8.128	0.500	0.230
4v01	Kd	8.114	0.967	0.440
4ibe	Kd	4.151	0.904	0.413
4ibi	Kd	4.137	0.914	0.401
4whs	Kd	4.125	0.500	0.123
5u49	Kd	6.137	0.664	0.332
4cjr	Kd	3.101	0.702	0.384
4qew	Kd	7.066	0.984	0.548
4cs9	Kd	2.097	0.500	0.193
4poj	Kd	8.097	0.953	0.440
4w9l	Kd	5.021	0.976	0.353
4rqv	Kd	5.046	0.879	0.348
5tbe	Kd	8.975	0.973	0.471
5ttw	Kd	5.959	0.935	0.374
4uye	Kd	8.020	0.991	0.532
4ql1	Kd	7.032	0.734	0.328
4og4	Kd	6.021	0.772	0.274
4oct	Kd	5.046	0.647	0.227
4kz7	Ki	2.495	0.500	0.284
4l2l	Ki	5.699	0.917	0.464
4cwr	Ki	8.301	0.981	0.554
4cws	Ki	7.921	0.981	0.544
4ngm	Ki	10.348	0.941	0.338
4jyt	Ki	7.398	0.992	0.489
5jsg	Kd	4.848	0.613	0.311
4jzi	Ki	7.398	0.992	0.491
4m8x	Ki	10.201	0.990	0.510
4kz4	Ki	4.155	0.646	0.267
4cwq	Ki	7.056	0.978	0.520
4m8y	Ki	9.959	0.990	0.512
4mhz	Ki	6.873	0.930	0.324
4nue	Ki	6.824	0.980	0.579
4qy3	Ki	6.824	0.911	0.476
4cwp	Ki	6.770	0.983	0.545
4cwt	Ki	6.747	0.984	0.540
3zj6	Ki	6.658	0.651	0.230
4mc6	Ki	9.585	0.993	0.669
4cd0	Ki	9.699	0.964	0.513
4jz1	Ki	6.699	0.990	0.511
3wmc	Ki	6.509	0.655	0.242
